mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.23649978637695312,0.04258646118514185,0.04079289436340332,0.005134911586407511,0.9,1.0,0.0,500,5,0.1,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.9153439153439153,0.8915343915343915,0.8412698412698413,0.8650793650793651,0.84593837535014,0.8718331777155306,0.02804137808404601,49
0.5379213333129883,0.11511551726533349,0.06526017189025879,0.03237404787909143,0.7,0.0,0.1,800,6,0.01,0.7,"{'model__subsample': 0.7, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",0.9338624338624338,0.8835978835978836,0.8333333333333334,0.8809523809523809,0.8599439775910364,0.8783380018674135,0.033109588342745855,21
0.5639763355255127,0.06981501532232023,0.0730088233947754,0.018623721593104367,0.9,1.0,0.5,500,5,0.03,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.9285714285714286,0.9021164021164022,0.843915343915344,0.8677248677248677,0.8627450980392156,0.8810146280734517,0.03031067298560951,14
0.9886122226715088,0.08685068770772597,0.08166189193725586,0.01564393633429109,0.9,5.0,0.1,1000,6,0.03,1.0,"{'model__subsample': 0.9, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 1000, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.9285714285714285,0.9047619047619048,0.8386243386243386,0.8624338624338624,0.8515406162464985,0.8771864301276064,0.03395056933445375,27
0.7741151809692383,0.013802817231337647,0.08321852684020996,0.004470352580767862,1.0,1.0,0.1,800,4,0.03,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.917989417989418,0.8968253968253969,0.8148148148148149,0.8730158730158731,0.8599439775910365,0.8725178960473079,0.035061405824463085,43
0.8352165222167969,0.09969793390463307,0.0937121868133545,0.020706513080768024,0.7,0.5,0.1,1000,4,0.01,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.1, 'model__n_estimators': 1000, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",0.9285714285714285,0.8915343915343916,0.8333333333333333,0.8756613756613757,0.8515406162464986,0.8761282290694055,0.032935727632471073,31
0.2644999027252197,0.03320567215582418,0.07125358581542969,0.007529920144289186,0.7,0.5,0.0,300,6,0.1,0.9,"{'model__subsample': 0.7, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.0, 'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.9206349206349207,0.9074074074074074,0.8359788359788359,0.8597883597883598,0.8487394957983193,0.8745098039215685,0.03339234611604917,34
0.52786283493042,0.1113595641328689,0.03938894271850586,0.002898074002555088,0.9,2.0,0.1,1000,6,0.03,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 1000, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.9259259259259259,0.9074074074074074,0.8359788359788359,0.8650793650793651,0.8543417366946778,0.8777466542172425,0.0336267855166807,24
0.18495993614196776,0.014089304091713137,0.0383758544921875,0.002969396948006915,0.8,0.5,0.1,300,5,0.05,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.1, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.9285714285714285,0.8994708994708995,0.8148148148148149,0.8677248677248678,0.865546218487395,0.8752256458138812,0.0380342644209552,33
0.4879788875579834,0.013073039241123229,0.03853726387023926,0.0007110703399972291,0.9,0.5,0.5,1000,4,0.01,0.7,"{'model__subsample': 0.9, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.5, 'model__n_estimators': 1000, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",0.9259259259259258,0.8994708994708995,0.843915343915344,0.8809523809523809,0.8571428571428571,0.8814814814814815,0.02933527254101397,13
